Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Melampyrum italicum;Melampyrum italicum (Beauverd) Soó;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum nemorosum;Melampyrum nemorosum L.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Mayer V., Ölzant S. & Fischer R.C. (2005) Myrmecochorous seed dispersal in temperate regions. In: Lambert, J. E., Hulme, P. E., & Vander Wall, S. B. (eds.) Seed fate: predation, dispersal, and seedling establishment. CABI, pp. 175-195 | Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Melampyrum polonicum;Melampyrum polonicum (Beauverd) Soó;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum pratense;Melampyrum pratense L.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451 | Chlumský J., Koutecký P., Jílková V.& Štech M. (2013) Roles of species-preferential seed dispersal by ants and endozoochory in Melampyrum (Orobanchaceae). Journal of Plant Ecology 6(3): 232-239 | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Melampyrum saxosum;Melampyrum saxosum Baumg.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;Melampyrum herbichii;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum scardicum;Melampyrum scardicum Wettst.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum subalpinum;Melampyrum subalpinum (Jur.) A.Kern.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;Melampyrum bohemicum;Chlumský J., Koutecký P., Jílková V.& Štech M. (2013) Roles of species-preferential seed dispersal by ants and endozoochory in Melampyrum (Orobanchaceae). Journal of Plant Ecology 6(3): 232-239 | Plant Diversity Analysis and Synthesis Centre <https://pladias.cz>
Melampyrum sylvaticum;Melampyrum sylvaticum L.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451 | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Melampyrum variegatum;Melampyrum variegatum (Porta & Rigo) Huter;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum vaudense;Melampyrum vaudense (Ronniger) Soó;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
