site,id,lat,lon,presence,island_class
181746561,181746561,48.31567005,2.69454325,1,land
179327275,179327275,53.389183,7.950686,1,land
177988272,177988272,47.467338453000004,11.1394193634,1,land
177966954,177966954,47.46268,11.128206,1,land
176309710,176309710,47.71285,11.159231,1,land
176272146,176272146,47.6668549722,11.1361209722,1,land
169151828,169151828,53.1687210757,8.4272757545,1,land
168027200,168027200,53.1394879279,8.1968418136,1,land
164196614,164196614,53.0645969722,8.1908379722,1,land
163348515,163348515,49.7662899722,11.415478,1,land
163347245,163347245,49.7671109722,11.4142499722,1,land
163284833,163284833,49.75164,11.442329,1,land
163284099,163284099,49.751567,11.442541,1,land
163174798,163174798,49.765996,11.409734,1,land
162485638,162485638,49.7687079722,11.40989,1,land
158178026,158178026,53.183934,8.2650319722,1,land
141910643,141910643,53.5934830014,10.9483370287,1,land
320808590,320808590,42.8209444444,-1.6425861111,1,land
295337282,295337282,49.6322611111,-1.6161888889,1,land
286755200,286755200,60.6926421944,5.1110100556,1,land
142551624,142551624,60.4017752292,5.3249359604,1,land
129242900,129242900,41.4142769444,2.1527402778,1,land
284748008,284748008,51.08785,2.5906916667,1,land
228790767,228790767,51.6398305865,-0.1570698246,1,land
222200037,222200037,52.9341365,8.3731112997,1,land
207551023,207551023,54.0735111997,9.8938521,1,land
289216601,289216601,51.1343805556,2.7368777778,1,land
286985749,286985749,50.9103138889,3.5893555556,1,land
286760149,286760149,62.4392166111,6.1869768889,1,island
284755823,284755823,57.837544,11.702063,1,land
243749355,243749355,53.121184554,8.1563613646,1,land
220834106,220834106,53.159634,8.163097,1,land
214587423,214587423,53.5413444444,7.9320055556,1,land
210797318,210797318,53.1844527778,8.1388083333,1,land
